Productos,Precio Final
DADO HEXAGONAL 32MM 1/2,"9,87"
"DADO HEXAGONAL 5/16"" X 1/2","3,64"
"DADO HEXAGONAL 5/8"" X 1/2","2,84"
DADO HEXAGONAL 6PTA. 1/2 X 1 TRUPER 13385,"10,16"
DADO HEXAGONAL 6PTA. 1/2 X 11/16 TRUPER 13235,"7,55"
DADO HEXAGONAL 6PTA. 1/2 X 7/8 TRUPER 13383,"16,97"
DADO HEXAGONAL 6PTA. 3/8 X 10MM TRUPER 13674,"6,37"
DADO HEXAGONAL 6PTA. 3/8 X 8MM TRUPER 13672,"6,29"
"DADO HEXAGONAL 7/16"" X 1/2","3,64"
"DADO PARA SENSOR DE OXIGENO 3/8"" SURTEK BF5130S","32,54"
"DADO PARA TARRAJA 1""","13,82"
"DADO PARA TARRAJA 1/2""","7,47"
"DADO PARA TARRAJA 3/4""","7,47"
"DADO THERMOFUSORES 1 1/2"" (50) TERMOFUSION P00217","10,76"
"DADO THERMOFUSORES 1"" (32) TERMOFUSION P00215","7,66"
"DADO THERMOFUSORES 1/2""(20) TERMOFUSION P00213","5,26"
"DADO THERMOFUSORES 2 1/2""(75) TERMOFUSION P00219","26,09"
"DADO THERMOFUSORES 2""(63) TERMOFUSION P00218","13,63"
"DADO THERMOFUSORES 3/4""(25) TERMOFUSION P00214","5,77"
DELANTAL COCINA PECHERA 1PK1DP100,"25,03"
DELANTAL COCINA PECHERA 1PK1DP630,"25,03"
DELANTAL COCINA PECHERA 1PK1DP703,"25,03"
DESAGUE P/FREGADERO AERO INOXIDABLE GB-410,"6,86"
"DESAGUE P/FREGADERO C/CESTA ACERO Y PLAS. 1 1/2"" 04-005-050","5,29"
DESAGUE P/FREGADERO DOBLE PLASTICO F-1635V,"2,78"
DESAGUE P/LAVAMANOS ACERO/INOX DE PUSH GB-408-B,"8,21"
DESAGUE P/LAVAMANOS PLASTICO 1 1/4 HER13,"3,16"
DESAGUE PARA BATEA PLASTICO 1 1/2,"1,80"
DESAGUE PARA W.C. VENCERAMICA 9 PUL,"7,54"
DESENGRASANTE LIQUIDO GALON SQ GDESIN,"14,43"
DESENGRASANTE LIQUIDO SPRAY SQ AF70-8,"8,92"
DESMALEZADORA 52CC C/ARNES PROFESIONAL CG520/TB520-N,"234,90"
DESMALEZADORA MULTIFUNCIONAL BERGEN 4 EN 1 42.7CC MFB57,"313,20"
DESMALEZADORA RECTA 51CC 2T FIAT 500PIU,"285,16"
DESMANCHADOR SPRAY SQ 440CC,"6,73"
"DESTORNILLADOR ESTRIA 1/4 X 6"" INGCO","5,16"
DESTORNILLADOR ESTRIA 5MM X 100MM EXXEL 20-063,"1,55"
DESTORNILLADOR ESTRIA 5MM X 150MM EXXEL 20-064,"1,71"
DESTORNILLADOR ESTRIA 6MM X 100MM EXXEL 03-144,"2,51"
DESTORNILLADOR ESTRIA 6MM X 100MM HR-02-6X100,"1,83"
DESTORNILLADOR ESTRIA 6MM X 125MM EXXEL 03-145,"2,74"
DESTORNILLADOR ESTRIA 6MM X 125MM HR-02-6X125,"1,81"
DESTORNILLADOR ESTRIA 6MM X 150MM EXXEL 03-146,"2,83"
DESTORNILLADOR ESTRIA 6MM X 200MM EXXEL 00-015-018,"2,94"
DESTORNILLADOR ESTRIA 6MM X 200MM EXXEL 03-147,"3,35"
DESTORNILLADOR ESTRIA 8MM X 150MM EXXEL 20-068,"4,02"
DESTORNILLADOR ESTRIA 8MM X 200MM EXXEL 20-069,"3,54"
DESTORNILLADOR ESTRIA 8MM X 250MM EXXEL 03-150,"4,21"
"DESTORNILLADOR PALA 1/4"" X 6"" STANLEY","10,41"
"DESTORNILLADOR PALA 3/16 X 4"" INGCO","3,57"
"DESTORNILLADOR PALA 3/16"" X 6"" STANLEY","6,64"
DESTORNILLADOR PALA 3MM X 75MM HR-01-3X75,"1,65"
DESTORNILLADOR PALA 5.5 X 125MM AISLANTE 323894,"23,68"
DESTORNILLADOR PALA 5MM X 100MM EXXEL 20-053,"1,55"
DESTORNILLADOR PALA 5MM X 150MM EXXEL 20-054,"1,74"
DESTORNILLADOR PALA 5MM X 75MM HR-01-5X75,"2,04"
DESTORNILLADOR PALA 6MM X 150MM EXXEL 00-015-017,"2,58"
DESTORNILLADOR PALA 8MM X 150MM EXXEL 20-058,"4,02"
DETERGENTE TITAN KG,"2,83"
DIABLO ROJO FRAGANCIA DE PINO GRANULADO 300G,"9,80"
DIABLO ROJO TRADICIONAL GRANULADO 300G,"5,70"
DIMMER SENCILLO EMP. BLANCO SW45 LUMISTAR,"5,39"
DIMMER SENCILLO EMP. PLATA SW53 LUMISTAR,"6,79"
"DISCO COPA DESBASTE DE PIEDRA 5""G.100 EXXEL 52-103","14,65"
"DISCO COPA DESBASTE DE PIEDRA 5""G.120 EXXEL 52-104","14,65"
"DISCO CORTE 1 1/4"" C/FIBRA D/VIDRIO DREMEL 2615000426 862378","10,50"
"DISCO CORTE 12"" ABRACOL AD1X4-3019","11,46"
"DISCO CORTE 12"" HIERRO/ACERO EXXEL 09-007-002","5,84"
"DISCO CORTE 14 ""METAL ABRACOL AD1X4-3021","9,80"
"DISCO CORTE 14"" METAL EXXEL 09-007-003","5,77"
"DISCO CORTE 4 1/2"" ABRACOL 420 AD10X1-4604","1,62"
"DISCO CORTE 4 1/2"" ABRACOL AD7X6-4604","1,71"
"DISCO CORTE 4 1/2"" EXTRA FINO OMEGA AD1XO-4604","1,71"
"DISCO CORTE 4 1/2"" EXXEL 09-007-004","1,20"
"DISCO CORTE 4 1/2"" POWER 055","1,74"
"DISCO CORTE 4 1/2"" ULTRAFINO EXXEL 09-007-012/41-029","0,81"
"DISCO CORTE 4 1/2""CONCRETO POWER","1,96"
"DISCO CORTE 7"" ABRACOL AD7X6-3007","2,68"
"DISCO CORTE 7"" ABRACOL REF-423 AD7X6-4607","2,26"
"DISCO CORTE 7"" ULTRAFINO EXXEL 41-030","1,74"
"DISCO CORTE CARBURO 1"" DREMEL 26150543AA 862523","43,09"
"DISCO CORTE METAL 14""BOSCH 2608602759 875835","10,32"
"DISCO CORTE METAL 14""BOSCH 875839","11,37"
"DISCO CORTE METAL 7"" BOSCH 08619771 875519","3,89"
"DISCO CORTE METAL 7"" BOSCH 2608619384 875518","3,94"
"DISCO CORTE METAL INOX 4 1/2""BOSCH 2608619383 875411","1,65"
"DISCO CORTE MULTIUSO 4 1/2"" ULTRAFINO EXXEL 53-073","1,07"
"DISCO CORTE P/HORMIGON 4 1/2""SEGMENT BOSCH 2608602196 875089","27,41"
DISCO DE CADENA P/DESMALEZADORA SHIMAHA CG430520-154,"23,35"
"DISCO DIAMANTADO 14""SEGMENTADO BOSCH 2608615035 875118","107,63"
"DISCO DIAMANTADO 4 1/2""CONTINUO ABRACOL DIAMA-1115","11,11"
"DISCO DIAMANTADO 4 1/2""HUMEDO EXXEL 09-007-033","4,16"
"DISCO DIAMANTADO 4 1/2""SECO EXXEL 09-007-035","5,05"
"DISCO DIAMANTADO 4 1/2""SEGMENTADO ABRACOL DIAMA-2115","10,86"
"DISCO DIAMANTADO 4 1/2""TURBO ABRACOL DIAMA-3115","10,48"
"DISCO DIAMANTADO 4 1/2""TURBO BOSCH 2608615036 875101","22,75"
"DISCO DIAMANTADO 4 1/2""TURBO EXXEL 09-007-037","4,77"
"DISCO DIAMANTADO 4.1/2""SEGMENTADO BOSCH 2608615027 875113","18,36"
"DISCO DIAMANTADO 7"" SEGMENT BOSCH 2608615030 875116","30,28"
"DISCO DIAMANTADO 7"" TURBO BOSCH 2608615038 875103","44,79"
"DISCO DIAMANTADO 7""CONTINUO ABRACOL DIAMA-1116","22,36"
"DISCO DIAMANTADO 7""HUMEDO EXXEL 32-014","8,82"
"DISCO DIAMANTADO 7""SECO EXXEL 32-016","9,82"
"DISCO DIAMANTADO 7""SEGMENTADO ABRACOL DIAMA-2180","20,08"
"DISCO DIAMANTADO 7""TURBO ABRACOL DIAMA-3180","20,30"
"DISCO DIAMANTADO 7""TURBO EXXEL 32-018","11,25"
"DISCO DIAMANTADO 7/8"" DREMEL 26150545AA 862535","32,93"
"DISCO FLAP 4 1/2"" G.120 ABRACOL AD8XZ-1204","4,90"
"DISCO FLAP 4 1/2"" G.40 ABRACOL AD8XZ-4004","5,16"
"DISCO FLAP 4 1/2"" G.60 ABRACOL AD8XZ-6004","4,90"
"DISCO FLAP 4 1/2"" G.80 ABRACOL AD8XZ-8004","5,10"
"DISCO FLAP 7"" G.120 ABRACOL AD7XZ-1207","10,11"
"DISCO FLAP 7"" G.120 EXXEL 51-033","6,47"
"DISCO FLAP 7"" G.40 ABRACOL AD8XZ-4007","9,90"
"DISCO FLAP 7"" G.60 ABRACOL AD8XZ-6007","11,25"
"DISCO FLAP 7"" G.60 EXXEL 51-031 / 09-007-087","6,39"
"DISCO FLAP 7"" G.60 POWER 388","13,86"
"DISCO FLAP 7"" G.80 ABRACOL AD7XZ-8007","10,11"
"DISCO FLAP 7"" G.80 ABRACOL AD8XZ-8007","11,46"
"DISCO FLAP 7"" G.80 EXXEL 51-032","6,37"
"DISCO LIJA 1 1/4"" G.180 DREMEL 261500041 863191","7,05"
"DISCO LIJA 1 1/4"" G.220 DREMEL 2615000412 863199","7,77"
"DISCO LIJA 3/8"" D/ALETAS G.120 DREMEL 2615000503 863023","14,66"
"DISCO LIJA 3/8"" D/ALETAS G.80 DREMEL 2615000502 863010","14,66"
"DISCO LIJA FLEX 7"" G.180","2,84"
"DISCO LIJA FLEX 7"" G.60 POWER 244","2,84"
"DISCO MULTI-METAL 10"" 80T BOSCH 2608642201 876111","66,50"
"DISCO PULIR 4 1/2"" 3W 020515","2,00"
"DISCO PULIR 4 1/2"" ABRACOL AD7X1-2412","2,64"
"DISCO PULIR 4 1/2"" EXXEL 09-007-006 / 36-001","1,90"
"DISCO PULIR 4"" GRUESO P/INOX BOSCH 879412","8,63"
"DISCO PULIR 7"" ABRACOL AD7X1-2407","5,19"
"DISCO PULIR 7"" EXXEL 09-007-007 / 36-002","3,41"
"DISCO PULIR 7"" OMEGA AD7XO-2407 ABRACOL","3,20"
"DISCO PULIR CONCRETO 4 1/2"" ABRACOL AD7X2-2402","3,87"
"DISCO PULIR CONCRETO 7"" ABRACOL AD7X2-2404","2,26"
"DISCO PULIR METAL 4 1/2"" BOSCH 603181 875440","3,60"
"DISCO PULIR METAL 7"" BOSCH 603183 875547","5,70"
"DISCO SIERRA 10"" BOSCH 2608642199 876124","76,15"
"DISCO SIERRA 7 1/4"" BOSCH 2608640847 876276","42,17"
DISCO SIERRA P/MADERA 300MM 40TPI EXXEL 43-103,"14,56"
DISCO SIERRA P/MADERA 300MM 60TPI EXXEL 43-104,"15,98"
"DISCO SIERRA P/MADERA 4 1/2"" 24D HR-60","6,44"
"DISCO SIERRA P/MADERA 4 1/2"" 30D HR-M3466","3,70"
DISPENSADOR DE AGUA ELECTRICO GB-545,"11,44"
DISPENSADOR DE JABON EMPOTRADO SATINADO GB-554,"12,25"
DISPENSADOR DE JABON P/LAVAPLATOS GB-515,"6,42"
DISPENSADOR PARA MANGUERA M/CROWNMAN,"72,72"
DREMEL INALAMBRICA 7350 4V - 5ACC F0137350LA 861788,"52,78"
DREMEL INALAMBRICA LITE 4V 10ACC 861792,"110,61"
DREMEL STYLO 15ACC F0132050AA 861733,"89,91"
DRENAJE P/PISO D/REJILLA 30CMX10CM GB-415,"30,04"
DRIVER MULTIVOLTAGE 8-12W 80-280V LD8-12 B053322,"6,84"
DRIVER MULTIVOLTAGE ELEC 8-12W MV37040 L020252,"7,11"
DRIVER P/PANEL 12W 85-265V LED106 LUMISTAR,"1,52"
DRIVER P/PANEL 18W 85-265V LED107 LUMISTAR,"1,83"
DRIVER P/PANEL 24W 85-265V LED108 LUMISTAR,"1,61"
DRIVER P/PANEL 6W 85-265V LED105 LUMISTAR,"1,52"
DRIVER P/REFLECTOR 50W 85-265V LED116 LUMISTAR,"9,08"
DRIVER TRANSFORMADOR P/LAMPARA LED 20-45W LD-B9-45,"1,96"
DRIVER TRANSFORMADOR P/LAMPARA LED 9-25W LD-B8-25,"1,78"
DRIZA 4.00 BLANCO X METRO ROLLO 500MT,"0,36"
DUCHA C/BRAZO CROMADO LF F-1301,"3,64"
DUCHA C/BRAZO CROMADO LF F-1318,"4,76"
DUCHA ELECTRICA TESCO BLANCA 110V 04-003-0,"23,42"
DUCHA TELEFONO ALASKA KIT BM-KIT01 BOUMAC,"53,20"
DUCHA TELEFONO CROMADA GRIVEN DUCHA-01,"20,74"
DUCHA TELEFONO MODELO LEGEND CROMADA F.P. 35KCA800,"97,47"
DUCHA TELEFONO REPUESTO ALASKA BM-61025 BOUMAC,"24,51"
DUCHA TELEFONO REPUESTO LEGEND CR 35ACC213 F.P,"27,41"
DUCTO FLEXIBLE P/COCINA 4PUL X 1.5MTS HR-440,"4,99"
DUCTO FLEXIBLE P/COCINA 6PUL X 2MTS HR-443,"12,17"
ELECTRODO 1/8 LINCOLN GRICON 6013-1/8 3.25MM X KILO,"8,37"
ELECTRODO 1/8 LINCOLN GRICON 7018-1/8 3.25MM X KILO,"8,15"
ELECTRODO 3/32 LINCOLN GRICON 6013-3/32 2.50MM X KILO.,"7,44"
ELECTRODO 3/32 ZAFIRO 6013-3/32 X KILO,"3,89"
ELECTRODO ESPECIAL 1/8 LINCOLN ACERO INOXIDABLE X2-18002,"1,81"
ELECTRODO ESPECIAL 1/8 LINCOLN ALUMINIO GRILUMIN 57368,"2,58"
ELECTRODO ESPECIAL 1/8 LINCOLN GRICAST HIERRO COLADO 1-18002,"5,73"
ELECTRODO ESPECIAL 3/32 LINCOLN ACERO INOXIDABLE X2-33202,"3,77"
ELEVADOR DE OCTANAJE DR CARE,"4,90"
EMBRAGUE P/DESMAL T/STHIL FS220/280-36,"10,77"
EMBUDO PLASTICO C/PICO FELXIBLE HR-802,"3,83"
EMBUTIDO OJO DE BUEY,"7,38"
EMPACADU.SELLO DESAGUE JOMAI 1 Y 2,"0,28"
"EMPACADURA DE GOMA P/ MANGUERA 1/2""","0,22"
EMPALME UNION AMARILLO 035,"1,22"
EMPALME UNION ROJO 016,"0,96"
ENCENDEDOR DE COCINA CLICK FLAME AMERICANO,"3,73"
ENCENDEDOR DE COCINA RECARGABLE,"4,90"
ENCERADO PLAST.LONAVIL 15 X 4 NARANJA 60 MT2 (TAPA DE BATEA),"1202,25"
ENCERADO PLAST.LONAVIL 9 X 5 NARANJA 45 MT2,"901,70"
ENCERADO PLAST.LONAVIL 9 X 6 NARANJA 54 MT2,"1082,03"
ENCERADO PLAST.LONAVIL 9 X 7 NARANJA 63 MT2 (KODIAK),"1262,37"
ENCERADO PLAST.LONAVIL 9 X 8 NARANJA 72 MT2 (BATEA COMPLETA),"1442,71"
ENCHUFE ADAPTADOR T/EAGLE 3 A 2 10AM,"3,73"
ENCHUFE BLINDADO C/TIERRA 047PBP2 VITRON,"1,13"
ENCHUFE BLINDADO S/TIERRA 045PBP2 VITRON,"1,07"
ENCHUFE BLINDADO TRIFASICO 3X20AM,"4,71"
ENCHUFE CONVERTIDOR DOBLE MAS USB SUP. SW86 LUMISTAR,"7,38"
ENCHUFE CONVERTIDOR EUROPEO-AMERICANO110-220V,"1,13"
ENCHUFE GOMA CON ABRAZADERA SIN TIERRA LD-662,"1,52"
ENCHUFE GOMA INDUSTRIAL TRIFASICO 3X20AM,"4,26"
ENCHUFE GOMA SIN TIERRA LUMISTAR EN13,"0,87"
ENCHUFE INDUSTRIAL TRIFASICO 3X50AM LD-517,"8,70"
ENCHUFE MEDIA VUELTA 4 X30A 125/250V LD-519,"5,77"
ENCHUFE POLARIZADO TICINO 2 POSICIONES 2015B T011204,"4,67"
ENCHUFE POLARIZADO TICINO C/TIERRA 2P + T 2028N T011202,"7,03"
ENCHUFE VINIL POLARIZADO 15 AMP.250V / AMARILLO,"1,68"
ENCHUFE VINIL POLARIZADO 220V 2809,"2,07"
ENGRAPADORA MANUAL TOLSEN 4-14MM (5/32 - 9/16) 43020,"15,82"
ENGRASADORA 500CC EXXEL 40-307,"23,06"
ENTREPANO BLANCO MODULO I 2.00X0.48X0.40 M AEROCLOSET 1770,"88,84"
ENVO PLAST 50CM X 480M ROLLO 4KG EXXEL 09-020-065,"38,96"
ENVO PLAST ALIMENTOS 11MICRAS ROLLO 21540053,"41,70"
ENVO PLAST DOMESTICO 30MTS 21530030,"2,84"
EPOXY PROTECH MAS CATALIZADOR GALON AZUL MEDIO,"100,49"
EPOXY PROTECH MAS CATALIZADOR GALON BLANCO,"100,49"
ESCALEBANCO PEQ PLASTICO BLANCO MANAPLAS 6817-0,"12,67"
ESCALEBANCO PEQ PLASTICO ROJO MANAPLAS 6817-4,"14,07"
ESCALEBANCO PEQ PLASTICO VERDE MANAPLAS 6817-3,"12,67"
ESCALERA EXTENSIBLE ALUMINIO 16 TRAMOS 6MT ALADINO,"316,33"
ESCALERA EXTENSIBLE ALUMINIO 28 TRAMOS 9.6MT ALADINO,"518,23"
ESCALERA TIJERA ALUMINIO 10 TRAMOS 3.00MT ALFORT,"254,01"
ESCALERA TIJERA ALUMINIO 2 TRAMOS 0.60MT ALFORT,"75,15"
ESCALERA TIJERA ALUMINIO 3 TRAMOS 0.90MT ALFORT,"99,22"
ESCALERA TIJERA ALUMINIO 4 TRAMOS 1.20MTR ALFORT,"136,59"
ESCALERA TIJERA ALUMINIO 5 TRAMOS 1.50 MT ALFORT,"160,44"
ESCALERA TIJERA ALUMINIO 6 TRAMOS 1.80MT ALFORT,"185,25"
ESCALERA TIJERA ALUMINIO 7 TRAMOS 2.10 MT ALFORT,"220,26"
ESCALERA TIJERA ALUMINIO 8 TRAMOS 2.40 MTS. ALADINO,"247,05"
ESCALERA TIJERA ALUMINIO 9 TRAMOS 2.70MT ALFORT,"191,04"
ESCARDILLA EXXEL S/CABO 02-010-001,"13,14"
ESCOBA BARRER SIN CABO MARY 102,"3,15"
ESCOBA BARRER SIN CABO RUSTICA PATIO 00CE69,"4,60"
ESCOBA POPULAR SIN CABO,"2,36"
ESCOBILLON REDONDO CON EXTENSION,"11,79"
ESCRITORIO MODULAR,"313,20"
ESCUADRA C/NIVEL ALUMINIO HR-231,"7,31"
ESCUADRA P/CARPINTERO 150MM EXXEL 00-017-001,"2,71"
ESCUADRA P/CARPINTERO 200MM EXXEL 00-017-002,"3,00"
ESCUADRA P/CARPINTERO 300MM EXXEL 00-017-004,"3,51"
ESCUADRA P/CARPINTERO 400MM EXXEL 00-017-006,"3,71"
ESCURRIDOR DE PLATOS MEDIANO 5015,"16,28"
ESLABON METAL TIPO D 5MM EXXEL 08-001-020/43-042,"0,77"
ESLABON METAL TIPO D 8MM EXXEL 08-001-023/43-045,"1,49"
ESLINGA DE NYLON 4 PUL X 2.74MTS WEBMASTER RE2804NX2.74,"375,00"
ESLINGA DE NYLON OJO-OJO DE 4 PULX3MTS,"212,50"
ESMALTE ARA PAINT GALON NEGRO BRILLANTE,"31,25"
ESMALTE ARA PAINT GALON NEGRO NIGHT 993 SATINADO,"31,25"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON AMARILLO 1003,"11,17"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON AMARILLO 1021,"11,17"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON AMARILLO CARTEPILLAR,"11,17"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON AZUL COBALTO,"9,74"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON AZUL IMPERIAL,"9,74"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON BEIGE,"9,74"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON BLANCO,"9,74"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON GRIS 7035,"9,74"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON GRIS 7042,"9,74"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON NEGRO,"9,74"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON ROJO 3001,"11,17"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON ROJO 3020,"11,17"
ESMALTE BRISA BRILLANTE PINTAPRO 1/4 GALON VERDE,"11,17"
ESMALTE BRISA BRILLANTE PINTAPRO GALON AMARILLO 1021,"36,54"
ESMALTE BRISA BRILLANTE PINTAPRO GALON AMARILLO CARTEPILLAR,"36,54"
ESMALTE BRISA BRILLANTE PINTAPRO GALON AZUL COBALTO,"33,50"
ESMALTE BRISA BRILLANTE PINTAPRO GALON BEIGE,"33,50"
ESMALTE BRISA BRILLANTE PINTAPRO GALON BLANCO,"33,50"
ESMALTE BRISA BRILLANTE PINTAPRO GALON GRIS 7035,"33,50"
ESMALTE BRISA BRILLANTE PINTAPRO GALON GRIS 7042,"33,50"
ESMALTE BRISA BRILLANTE PINTAPRO GALON NEGRO,"33,50"
ESMALTE BRISA BRILLANTE PINTAPRO GALON ROJO 3001,"36,54"
ESMALTE BRISA BRILLANTE PINTAPRO GALON ROJO 3020,"36,54"
ESMALTE BRISA BRILLANTE PINTAPRO GALON VERDE,"36,54"
ESMALTE BRISA BRILLANTE PINTAPRO GALON VINOTINTO,"36,54"
ESMALTE BRISA MATE PINTAPRO 1/4 GALON BLANCO MATE,"9,74"
ESMALTE BRISA MATE PINTAPRO 1/4 GALON NEGRO MATE,"9,74"
ESMALTE BRISA MATE PINTAPRO GALON BLANCO MATE,"33,50"
ESMALTE BRISA MATE PINTAPRO GALON NEGRO MATE,"33,50"
ESMALTE CROMATIC BRILLANTE PINTAPRO 1/4 AZUL OCEANO,"8,63"
ESMALTE CROMATIC BRILLANTE PINTAPRO 1/4 GALON BLANCO NIEVE,"8,63"
ESMALTE CROMATIC BRILLANTE PINTAPRO 1/4 GALON GRIS MEDIO,"8,63"
ESMALTE CROMATIC BRILLANTE PINTAPRO 1/4 GALON MARRON PARDO,"8,63"
ESMALTE CROMATIC BRILLANTE PINTAPRO 1/4 GALON NEGRO HUMO,"8,63"
ESMALTE CROMATIC BRILLANTE PINTAPRO GALON AZUL OCEANO,"28,42"
ESMALTE CROMATIC BRILLANTE PINTAPRO GALON BLANCO NIEVE,"28,42"
ESMALTE CROMATIC BRILLANTE PINTAPRO GALON GRIS MEDIO,"28,42"
ESMALTE CROMATIC BRILLANTE PINTAPRO GALON MARRON PARDO,"28,42"
ESMALTE CROMATIC BRILLANTE PINTAPRO GALON NEGRO HUMO,"28,42"
ESMALTE DOMINO VP 1/4 GALON VERDE NAPOLES,"11,31"
ESMALTE DOMINO VP GALON VERDE TILO,"36,51"
ESMALTE METRO PAINT 1/32 GALON GRIS CLARO,"4,18"
ESMALTE PROPLASTIC 1/4 GALON CANELA ORIENTAL,"14,54"
ESMALTE PROPLASTIC 1/4 GALON GRIS MACHETE,"14,54"
ESMALTE PROPLASTIC 1/4 GALON MARFIL CLARO,"14,54"
ESMALTE PROPLASTIC 1/4 GALON MARFIL ORIENTAL,"14,54"
ESMALTE PROPLASTIC 1/4 GALON ROJO,"14,54"
ESMALTE PROPLASTIC 1/4 GALON TURQUESA,"14,54"
ESMALTE PROPLASTIC GALON CASTANO,"45,56"
ESMALTE PROPLASTIC GALON MARFIL ORIENTAL,"45,56"
ESMALTE PROPLASTIC GALON TURQUESA,"45,56"
ESMALTE SINTETICO CROMAS SEC. RAP 1/4 GALON AMARILLO,"19,29"
ESMALTE SINTETICO CROMAS SEC. RAP 1/4 GALON BLANCO,"21,21"
ESMALTE SINTETICO CROMAS SEC. RAP 1/4 GALON GRIS,"19,29"
ESMALTE SINTETICO CROMAS SEC. RAP 1/4 GALON NEGRO,"19,29"
ESMALTE SINTETICO CROMAS SEC. RAP GALON AZUL,"63,61"
ESMALTE SINTETICO CROMAS SEC. RAP GALON NEGRO,"59,75"
ESMALTE SINTETICO CROMAS SEC. RAP GALON ROJO,"80,94"
ESMALTE SINTETICO SOLINTEX 1/4 GALON AMARILLO INDUSTRIAL 1020,"17,68"
ESMALTE SINTETICO SOLINTEX 1/4 GALON NEGRO 1060,"17,68"
ESMALTE SINTETICO SOLINTEX GALON AZUL INTENSO 1041,"64,60"
ESMALTE SINTETICO SOLINTEX GALON BLANCO 1005,"69,51"
ESMALTE SINTETICO SOLINTEX GALON NEGRO 1060,"64,60"
ESMALTE TOPAL CROMAS BRILLANTE 1/16 GALON AZUL OSCURO,"5,38"
ESMALTE TOPAL CROMAS BRILLANTE 1/4 GALON AZUL OSCURO,"13,99"
ESMALTE TOPAL CROMAS BRILLANTE 1/4 GALON BLANCO,"13,99"
ESMALTE TOPAL CROMAS BRILLANTE 1/4 GALON MARFIL,"13,99"
ESMALTE TOPAL CROMAS BRILLANTE 1/4 GALON NEGRO,"15,65"
ESMALTE TOPAL CROMAS BRILLANTE 1/4 GALON ROJO LADRILLO,"15,65"
ESMALTE TOPAL CROMAS BRILLANTE 1/4 GALON ROJO PURO,"17,81"
ESMALTE TOPAL CROMAS BRILLANTE GALON CAOBA,"46,26"
ESMALTE TOPAL CROMAS BRILLANTE GALON GRIS OSCURO,"51,01"
ESMALTE TOPAL CROMAS BRILLANTE GALON MARFIL,"46,26"
ESMALTE TOPAL CROMAS BRILLANTE GALON NARANJA INTENSO,"51,01"
ESMALTE TOPAL CROMAS BRILLANTE GALON ROJO LADRILLO,"51,01"
ESMALTE TOPAL CROMAS MATE 1/16 GALON BLANCO MATE,"5,57"
ESMALTE TOPAL CROMAS MATE 1/4 GALON BLANCO MATE,"12,62"
ESMALTE TOPAL CROMAS MATE 1/4 GALON NEGRO MATE,"11,76"
ESMALTE TOPAL CROMAS MATE GALON BLANCO MATE,"45,21"
ESMALTE TOPAL CROMAS MATE GALON NEGRO MATE,"40,77"
ESMALTE ULTRA CEBRA MIRAGE 1/4 GALON ANARANJADO,"5,02"
"ESMERIL 4 1/2"" BOSCH 710W MODELO GWS 700 865840","128,69"
"ESMERIL 4 1/2"" BOSCH M14 850W GWS-850 865850","150,93"
"ESMERIL 4 1/2"" BOSCH M14 C/MALET.850W GWS-850 865863","173,97"
"ESMERIL 4 1/2"" EXXEL ANGULAR 960W 110V 01-004-017","78,94"
"ESMERIL 4 1/2"" SKIL ANGULAR 9002 700W 868280","96,86"
"ESMERIL 6"" XCORT BANCO 250W 2950RPM HR-E3053","103,72"
"ESMERIL 7"" BOSCH ANGULAR GWS2200-180 2200W 865915","279,43"
"ESMERIL 7"" EXXEL ANGULAR 1500W 110V 01-004-018","150,80"
"ESMERIL 7"" PROMAKER ANGULAR 2200W 8400RPM 120V PRO-ES2000","309,21"
ESPARRAGO G5 3/4-10 X 3/4-10 X 3,"4,03"
ESPARRAGO G5 3/4-10 X 3/4-10 X 3 1/2,"4,60"
"ESPATULA 2 1/2""","2,25"
"ESPATULA EXXEL MANGO PLASTICO 1 1/2"" 09-041 / 00-005-080","2,13"
"ESPATULA EXXEL MANGO PLASTICO 1"" 09-040","2,02"
"ESPATULA EXXEL MANGO PLASTICO 2 1/2"" 09-043","2,39"
"ESPATULA EXXEL MANGO PLASTICO 2"" 09-042","2,28"
"ESPATULA EXXEL MANGO PLASTICO 4"" 09-045 / 00-005-084","2,94"
"ESPATULA EXXEL MANGO PLASTICO 5"" 09-046","3,32"
"ESPATULA MULTIFUNCION 6 EN 1 2 1/2"" EXXEL 53-072","2,70"
"ESPATULA PARA DRYWALL 12""EXXEL 43-112","9,69"
ESPATULA REMOVEDORA EXXEL 53-062 / 00-005-184,"1,44"
ESPECIERO 3P (NAT) 8816-001 MADERA,"25,65"
ESPIRAL MEDIANO P/MATEROS,"26,39"
ESPIRAL PEQUENO P/MATEROS,"20,74"
ESPONJA SCOTCH BRITE 152MM X 96MM,"2,74"
